	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG369	4	3	3	4	3	4	3	5	3	5	5	4	4
OG370	4	4	4	4	3	4	4	3	4	4	4	4	4
OG371	4	6	5	3	5	2	1	5	2	3	3	8	3
OG372	4	4	4	4	2	4	4	4	3	3	6	3	5
OG373	4	10	4	3	3	4	4	4	1	4	3	4	2
OG374	5	10	4	2	1	6	4	4	1	3	3	6	1
OG375	2	4	4	4	8	3	3	4	3	3	6	3	3
OG376	4	4	4	4	3	4	4	5	2	3	5	4	3
OG377	6	5	3	3	4	4	4	4	3	3	3	4	3
OG378	4	7	4	3	2	4	4	2	2	4	4	5	4
OG379	5	6	4	3	3	3	4	4	2	4	3	4	4
OG380	5	4	6	2	3	5	5	3	3	4	2	4	3
OG381	4	2	4	4	4	4	4	4	4	3	4	4	4
OG382	4	3	4	4	3	4	4	4	4	4	3	4	4
OG383	4	3	4	4	4	4	4	4	3	3	4	4	4
OG384	4	4	4	4	3	4	4	4	2	4	4	4	4
OG385	4	4	4	2	5	3	4	3	1	4	3	7	5
OG386	5	4	6	3	3	5	5	3	1	5	3	4	2
OG387	4	3	3	5	6	4	4	5	1	3	4	3	4
OG388	5	3	3	2	5	5	4	3	3	3	5	6	2
OG389	4	4	5	3	6	5	5	1	2	3	6	4	1
OG390	6	6	3	1	6	5	5	4	0	4	3	5	1
OG391	6	7	1	3	3	5	4	4	2	4	3	4	3
OG392	4	4	4	4	3	4	4	4	3	3	4	4	4
OG393	4	4	4	4	4	4	4	4	2	3	4	4	4
OG394	3	6	4	3	3	3	3	5	1	4	5	5	4
OG395	4	8	4	3	3	6	6	4	1	1	3	4	2
OG396	4	3	4	3	5	4	4	4	2	4	4	4	4
OG397	4	4	4	4	4	4	4	3	4	2	4	4	4
OG398	0	31	3	0	1	3	3	2	0	0	2	2	2
OG399	5	5	2	2	6	4	3	4	2	5	2	4	4
OG400	4	3	4	4	4	4	4	4	2	3	4	4	4
OG401	3	10	4	2	4	5	4	3	1	2	4	5	1
OG402	4	4	4	4	4	4	4	4	4	2	4	3	3
OG403	4	4	4	3	3	4	4	3	4	3	4	4	4
OG404	4	3	4	3	3	4	4	4	4	4	3	4	4
OG405	3	4	4	3	5	3	4	5	2	3	5	4	3
OG406	4	3	4	3	4	4	4	3	3	4	4	4	4
OG407	4	5	4	3	4	4	4	2	3	4	3	4	4
OG408	6	5	4	5	2	2	3	3	2	4	5	3	4
OG409	3	4	4	4	4	4	4	4	1	3	5	4	4
OG410	4	3	5	1	4	4	4	4	2	5	4	4	4
OG411	4	5	4	4	3	4	4	4	2	1	5	4	4
OG412	4	2	5	5	3	5	4	4	4	1	6	4	1
OG413	6	6	6	2	2	5	6	2	1	3	3	4	2
OG414	6	6	4	3	5	4	4	1	0	3	3	5	4
OG415	4	6	4	3	1	4	5	4	2	4	3	4	4
OG416	4	3	4	4	4	4	4	3	3	4	4	4	3
OG417	3	4	4	3	3	4	4	5	1	2	7	5	3
OG418	6	2	5	2	3	5	6	5	1	3	3	4	3
OG419	3	17	6	1	3	6	1	0	0	3	0	4	4
OG420	4	4	4	4	4	4	4	4	2	3	3	4	4
OG421	3	3	5	2	4	3	4	4	2	5	5	4	4
